training_step,inventory_bin,lower_bound,upper_bound,sample_count,mean_hedge_fraction
20480,|z| < 2,0.0,2.0,16872,0.4876509002754761
20480,2 <= |z| < 5,2.0,5.0,12289,0.4918375658255596
20480,5 <= |z| < 10,5.0,10.0,19779,0.47707941804980175
20480,|z| >= 10,10.0,inf,12500,0.4603974845480919
60416,|z| < 2,0.0,2.0,18418,0.4601260101786135
60416,2 <= |z| < 5,2.0,5.0,11881,0.46103550465246834
60416,5 <= |z| < 10,5.0,10.0,19252,0.43856413199268507
60416,|z| >= 10,10.0,inf,11889,0.42012498455759917
100352,|z| < 2,0.0,2.0,19358,0.43928883610302316
100352,2 <= |z| < 5,2.0,5.0,12311,0.4573375770862867
100352,5 <= |z| < 10,5.0,10.0,18801,0.41667981420506267
100352,|z| >= 10,10.0,inf,10970,0.3697400753837123
