bin,left,right,count,mean_inventory,mean_ppo_skew,std_ppo_skew,mean_symmetric_quote_level,mean_hedge_fraction,analytical_as_skew
0,-31.027049402827114,-25.497232646104557,120,-28.08241881337251,-1.5781213690837224,0.06255933510942052,0.1430009886622429,0.037397069732348125,-2.808241881337251
1,-25.497232646104557,-19.967415889382004,203,-22.266037366381717,-1.562703681109574,0.06000372713385316,0.1586492184934945,0.04240278554667393,-2.2266037366381717
2,-19.967415889382004,-14.437599132659447,339,-16.833284518402394,-1.5277877441198073,0.1703308630320968,0.1878192442356661,0.0543442818619157,-1.6833284518402394
3,-14.437599132659447,-8.907782375936893,1099,-11.257361081285456,-1.2924247763718768,0.48001567199696354,0.2971320343055543,0.17763825914770826,-1.1257361081285457
4,-8.907782375936893,-3.37796561921434,813,-6.1764603822129,-1.0297418189078094,0.5025119685526542,0.4263292283992779,0.30081186970514856,-0.61764603822129
5,-3.37796561921434,2.1518511375082205,7205,-0.29521495511511064,0.27249458398796633,0.32658356759479973,0.6172437524191626,0.4305922887211124,-0.029521495511511064
6,2.1518511375082205,7.681667894230774,1269,4.955795222200029,1.0131365870682625,0.29465951684032826,-0.2664363521809555,0.22672148911947337,0.49557952222000295
7,7.681667894230774,13.211484650953327,1723,10.313782963928183,1.0184897755856992,0.25568776751460043,-0.35251563495145033,0.0981985784967625,1.0313782963928184
8,13.211484650953327,18.74130140767588,876,15.796592253066915,1.1103355692674035,0.2272051160793732,-0.35909997688853035,0.0540346012335934,1.5796592253066917
9,18.74130140767588,24.271118164398434,533,21.229661654563778,1.1872484155600336,0.18066041096509808,-0.3517153211371313,0.029170650199027714,2.122966165456378
10,24.271118164398434,29.800934921120994,416,26.69372421019941,1.241835816548421,0.0820151189837362,-0.3405528711871459,0.014454299655671302,2.669372421019941
11,29.800934921120994,35.33075167784355,312,32.599884154221925,1.2544288956201994,0.08072525586869186,-0.3360640158733496,0.0145261899018899,3.2599884154221925
12,35.33075167784355,40.860568434566105,170,37.70760326910908,1.2458422794061548,0.08238873130987483,-0.3431179346407161,0.014577335820478552,3.7707603269109082
13,40.860568434566105,46.39038519128866,121,43.34430204573418,1.2498164442945119,0.07061430068825082,-0.34356637040445626,0.014965960802125537,4.334430204573418
14,46.39038519128866,51.92020194801121,89,49.05641075538931,1.2565372847439198,0.0815665851387013,-0.3326626476946841,0.015482193968269262,4.905641075538931
